0,-1,0,0,0,0
3.2259e-06,-0.99999,-1.7047e-05,2.914e-06,1.7429e-06,-6.4021e-07
9.6775e-06,-0.99996,-5.114e-05,8.742e-06,5.2288e-06,-1.9206e-06
1.9355e-05,-0.99991,-0.00010228,1.7485e-05,1.0457e-05,-3.8413e-06
3.2257e-05,-0.99985,-0.00017047,2.9143e-05,1.7428e-05,-6.4021e-06
4.8383e-05,-0.99978,-0.00025572,4.3719e-05,2.6142e-05,-9.6031e-06
6.7733e-05,-0.99969,-0.00035802,6.1215e-05,3.6596e-05,-1.3444e-05
9.0305e-05,-0.99959,-0.00047739,8.1634e-05,4.8792e-05,-1.7925e-05
0.0001161,-0.99947,-0.00061383,0.00010498,6.2729e-05,-2.3047e-05
0.00014511,-0.99934,-0.00076734,0.00013126,7.8405e-05,-2.8808e-05
0.00017734,-0.99919,-0.00093795,0.00016047,9.582e-05,-3.5209e-05
0.00021279,-0.99902,-0.0011257,0.00019263,0.00011497,-4.225e-05
0.00025145,-0.99885,-0.0013305,0.00022773,0.00013586,-4.993e-05
0.00029332,-0.99866,-0.0015524,0.00026579,0.00015849,-5.8251e-05
0.0003384,-0.99845,-0.0017915,0.00030681,0.00018285,-6.7211e-05
0.00038669,-0.99823,-0.0020477,0.0003508,0.00020894,-7.681e-05
0.00043818,-0.99799,-0.0023211,0.00039777,0.00023676,-8.7049e-05
0.00049288,-0.99774,-0.0026117,0.00044773,0.00026632,-9.7927e-05
0.00055077,-0.99747,-0.0029195,0.00050068,0.0002976,-0.00010944
0.00061185,-0.99719,-0.0032445,0.00055665,0.00033061,-0.0001216
0.00067613,-0.99689,-0.0035867,0.00061563,0.00036534,-0.00013439
0.00074359,-0.99658,-0.0039463,0.00067765,0.0004018,-0.00014783
0.00081423,-0.99626,-0.0043231,0.00074271,0.00043997,-0.0001619
0.00088805,-0.99592,-0.0047172,0.00081083,0.00047987,-0.00017661
0.00096505,-0.99556,-0.0051287,0.00088201,0.00052148,-0.00019196
0.0010452,-0.99519,-0.0055575,0.00095629,0.00056481,-0.00020795
0.0011285,-0.99481,-0.0060037,0.0010337,0.00060984,-0.00022457
0.001215,-0.99441,-0.0064674,0.0011141,0.00065659,-0.00024183
0.0013047,-0.99399,-0.0069485,0.0011978,0.00070504,-0.00025973
0.0013975,-0.99356,-0.0074471,0.0012845,0.00075519,-0.00027827
0.0014934,-0.99311,-0.0079632,0.0013745,0.00080704,-0.00029744
0.0015925,-0.99265,-0.0084969,0.0014676,0.0008606,-0.00031725
0.0016947,-0.99218,-0.0090481,0.0015639,0.00091584,-0.00033769
0.0018,-0.99169,-0.009617,0.0016634,0.00097278,-0.00035877
0.0019085,-0.99118,-0.010203,0.0017662,0.0010314,-0.00038049
0.00202,-0.99066,-0.010808,0.0018722,0.0010917,-0.00040284
0.0021347,-0.99013,-0.01143,0.0019815,0.0011537,-0.00042583
0.0022525,-0.98958,-0.012069,0.0020941,0.0012174,-0.00044945
0.0023733,-0.98901,-0.012727,0.00221,0.0012827,-0.00047371
0.0024973,-0.98843,-0.013402,0.0023293,0.0013497,-0.0004986
0.0026243,-0.98783,-0.014096,0.0024519,0.0014184,-0.00052412
0.0027544,-0.98722,-0.014807,0.002578,0.0014887,-0.00055028
0.0028875,-0.9866,-0.015536,0.0027074,0.0015607,-0.00057707
0.0030237,-0.98595,-0.016283,0.0028403,0.0016344,-0.00060449
0.003163,-0.9853,-0.017049,0.0029766,0.0017097,-0.00063255
0.0033052,-0.98463,-0.017832,0.0031165,0.0017866,-0.00066123
0.0034506,-0.98394,-0.018634,0.0032598,0.0018652,-0.00069055
0.0035989,-0.98324,-0.019454,0.0034067,0.0019454,-0.0007205
0.0037502,-0.98252,-0.020292,0.0035572,0.0020272,-0.00075107
0.0039045,-0.98178,-0.021148,0.0037112,0.0021107,-0.00078228
0.0040619,-0.98104,-0.022023,0.0038689,0.0021958,-0.00081412
0.0042222,-0.98027,-0.022917,0.0040302,0.0022825,-0.00084658
0.0043855,-0.97949,-0.023828,0.0041952,0.0023708,-0.00087967
0.0045517,-0.9787,-0.024759,0.004364,0.0024608,-0.00091339
0.0047209,-0.97789,-0.025708,0.0045364,0.0025523,-0.00094774
0.004893,-0.97706,-0.026675,0.0047127,0.0026454,-0.00098271
0.005068,-0.97622,-0.027662,0.0048927,0.0027401,-0.0010183
0.005246,-0.97536,-0.028667,0.0050766,0.0028364,-0.0010545
0.0054269,-0.97449,-0.029691,0.0052643,0.0029343,-0.0010914
0.0056107,-0.9736,-0.030734,0.005456,0.0030337,-0.0011288
0.0057973,-0.9727,-0.031796,0.0056516,0.0031347,-0.0011669
0.0059868,-0.97178,-0.032877,0.0058511,0.0032373,-0.0012057
0.0061792,-0.97084,-0.033977,0.0060546,0.0033414,-0.001245
0.0063744,-0.96989,-0.035096,0.0062622,0.003447,-0.0012849
0.0065725,-0.96892,-0.036235,0.0064738,0.0035542,-0.0013255
0.0067734,-0.96794,-0.037393,0.0066896,0.003663,-0.0013667
0.0069771,-0.96694,-0.03857,0.0069094,0.0037732,-0.0014085
0.0071836,-0.96593,-0.039766,0.0071335,0.003885,-0.0014509
0.0073929,-0.9649,-0.040983,0.0073617,0.0039983,-0.001494
0.0076049,-0.96385,-0.042218,0.0075942,0.0041131,-0.0015377
0.0078197,-0.96279,-0.043474,0.007831,0.0042294,-0.0015819
0.0080373,-0.96171,-0.044749,0.0080721,0.0043472,-0.0016268
0.0082576,-0.96062,-0.046044,0.0083175,0.0044665,-0.0016723
