0.24831,-0.50343,-0.050653,-0.18271,-0.09548,-0.29443,-0.37885,0.26061,-0.0086866,-0.079621,-0.025495,-0.062812,0
0.25674,-0.51454,-0.046509,-0.18059,-0.10884,-0.35752,-0.53761,0.17872,-0.012847,-0.079551,-0.028289,-0.06411,0
0.25617,-0.52134,-0.044508,-0.19288,-0.12477,-0.40383,-0.6418,0.12742,-0.014849,-0.080104,-0.030383,-0.06457,0
0.25381,-0.52531,-0.043098,-0.20606,-0.13993,-0.43741,-0.71052,0.09158,-0.01589,-0.080531,-0.031807,-0.064614,0
0.25134,-0.52753,-0.042093,-0.21706,-0.15294,-0.4615,-0.7563,0.065795,-0.016411,-0.080809,-0.032729,-0.064491,0
0.24924,-0.52874,-0.041405,-0.22541,-0.16343,-0.4787,-0.78715,0.047144,-0.016654,-0.080986,-0.033311,-0.064328,0
0.24763,-0.52938,-0.04095,-0.23142,-0.17155,-0.49092,-0.80816,0.033683,-0.016757,-0.081099,-0.033676,-0.064179,0
0.24645,-0.52973,-0.040656,-0.2356,-0.17767,-0.49961,-0.8226,0.024007,-0.016794,-0.081172,-0.033905,-0.064061,0
0.24562,-0.52991,-0.040468,-0.23845,-0.18222,-0.50578,-0.83258,0.017079,-0.016802,-0.081219,-0.034047,-0.063974,0
0.24505,-0.53,-0.040349,-0.24036,-0.18556,-0.51016,-0.8395,0.012135,-0.016799,-0.081249,-0.034136,-0.063912,0
0.24467,-0.53005,-0.040273,-0.24162,-0.18801,-0.51327,-0.84431,0.0086136,-0.016792,-0.081269,-0.034192,-0.063869,0
0.24441,-0.53008,-0.040225,-0.24244,-0.18981,-0.51549,-0.84764,0.0061104,-0.016785,-0.081281,-0.034226,-0.06384,0
0.24424,-0.53009,-0.040194,-0.24298,-0.19114,-0.51708,-0.84993,0.0043328,-0.016779,-0.081288,-0.034247,-0.06382,0
0.24413,-0.53009,-0.040175,-0.24332,-0.19214,-0.51822,-0.85148,0.0030715,-0.016773,-0.081292,-0.034259,-0.063806,0
0.24406,-0.53009,-0.040162,-0.24354,-0.19291,-0.51904,-0.8525,0.002177,-0.016769,-0.081294,-0.034266,-0.063797,0
0.24401,-0.53008,-0.040154,-0.24369,-0.19351,-0.51965,-0.85314,0.0015428,-0.016764,-0.081295,-0.034269,-0.06379,0
0.24398,-0.53007,-0.040149,-0.24378,-0.19401,-0.5201,-0.8535,0.0010933,-0.01676,-0.081295,-0.03427,-0.063785,0
